Main Category,Sub Category,Sub Category Link,Job Title,Job Title Link,Salary,Salary Link,Average Salary,Educational Levels,No of Candidates,No of Jobs,Skills
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Account Manager,https://www.careerbuilder.com/jobs-account-manager,$73895,https://www.careerbuilder.com/salary-account-manager,"$75,500","{'VOCATIONAL': '$56,500', 'HIGH SCHOOL': '$55,000', 'ASSOCIATE': '$59,500', 'BACHELOR': '$75,500', 'MASTER': '$87,500', 'DOCTORATE': '$94,000'}","1,664,228","16,704,086","['Business Development', 'Negotiation', 'Customer Relationship Management', 'Resolve Customer Issue', 'Sales Management', 'Achieve Client Need', 'Customer Retention', 'Maintain Client Relationship', 'Client Service Management', 'Consumer Information', 'Communications', 'Oversee Client Deliverable', 'Proposal (Business)', 'Sla Agreements', 'Target Customer Needs', 'Growing Current Accounts', 'Consulting', 'Sell Solution', 'Expand Client Relationships', 'Strengthen Commercial Customer Partnership', 'Cost Negotiation', 'Professional Communication', 'Sales', 'Record Customer Information', 'Manage Customer Relationship', 'Consultative Selling', 'Account Management']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Accountant,https://www.careerbuilder.com/jobs-accountant,$61416,https://www.careerbuilder.com/salary-accountant,"$76,000","{'VOCATIONAL': '$53,000', 'HIGH SCHOOL': '$54,500', 'ASSOCIATE': '$57,500', 'BACHELOR': '$72,500', 'MASTER': '$80,000', 'DOCTORATE': '$79,000'}","204,372","2,239,450","['Financial Transactions', 'Financial Statements', 'Financial Analysis', 'Forecasting', 'General Ledger', 'Standard Accounting Practices', 'Accounting Systems', 'Finance', 'Balance Sheet', 'Accounts Payable', 'Receivables', 'Accounting', 'Tax Planning', 'International Financial Reporting Standards', 'Tax Preparation', 'Financial Accounting', 'Annual Financial Report', 'Accounts Receivable', 'Preparing Accounts Payable', 'Reporting Principles', 'Using Reporting Tools', 'Monitoring Payments', 'Generating Invoices', 'Accounts Receivable Invoicing', 'General Record Keeping', 'Prepare Deposit', 'Record Keeping Principles', 'Balancing Accounts', 'Processing Deposits', 'Generally Accepted Accounting Principles', 'Account Reconciliation', 'Tax Consulting', 'Accounting Softwares', 'Apply Accounting Principle', 'Analyze Accounting System', 'Resolve Financial Problem', 'Budgeting', 'Assets', 'Capital Expenditure', 'Ledger Accounting', 'Financial Data', 'Indirect Taxation', 'Business Taxation', 'Contracts Accounting', 'Expenditure Reporting', 'Bookkeeping', 'Tax Reporting', 'Accruals', 'Depreciation', 'Auditing', 'Financial Auditing', 'Financial Planning', 'Financial Systems', 'Financial Data Management', 'Accrual Analysis', 'Financial Forecasting', 'Internal Controls', 'Financial Modeling']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Accounting,https://www.careerbuilder.com/jobs-accounting,$64548,https://www.careerbuilder.com/salary-accounting,"$72,000","{'VOCATIONAL': '$54,000', 'HIGH SCHOOL': '$52,500', 'ASSOCIATE': '$57,000', 'BACHELOR': '$69,500', 'MASTER': '$79,500', 'DOCTORATE': '$86,500'}","3,384,564","44,464,804","['Financial Transactions', 'Financial Statements', 'Financial Analysis', 'Accounting Systems', 'Collections', 'Accounts Payable', 'Accounting', 'Accounts Receivable', 'Account Analysis', 'Accounting Codes', 'Accounting Policy', 'Accrual Accounting', 'Double Entry Accounting', 'Generally Accepted Accounting Principles', 'Maintain Fiscal Integrity', 'Quickbooks (Accounting Software)', 'Account Reconciliation', 'Trust Accounting System', 'Accounting Softwares', 'Bookkeeping', 'Bank Reconciliations', 'Fixed Asset', 'Peachtree (Accounting Software)', 'Ledgers (Accounting)', 'Record Payments', 'Accounts Reconciliation', 'Reconciling Transactions', 'Deposit Accounts']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Accounting Assistant,https://www.careerbuilder.com/jobs-accounting-assistant,$40171,https://www.careerbuilder.com/salary-accounting-assistant,"$62,500","{'VOCATIONAL': '$47,000', 'HIGH SCHOOL': '$47,500', 'ASSOCIATE': '$49,500', 'BACHELOR': '$60,500', 'MASTER': '$68,500', 'DOCTORATE': '$77,000'}","810,785","5,174,493","['Financial Transactions', 'Accounting', 'Financial Accounting', 'Preparing Accounts Payable', 'Clerical Accounting Work', 'Depositing Checks', 'Posting Deposits', 'Reporting Principles', 'Using Reporting Tools', 'Monitoring Payments', 'Generating Invoices', 'Accounts Receivable Invoicing', 'General Record Keeping', 'Prepare Deposit', 'Record Keeping Principles', 'Balancing Accounts', 'Processing Deposits', 'Generally Accepted Accounting Principles', 'Accounting Softwares', 'Billing', 'Computer Literacy']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Accounting Clerk,https://www.careerbuilder.com/jobs-accounting-clerk,$40207,https://www.careerbuilder.com/salary-accounting-clerk,"$48,500","{'VOCATIONAL': '$42,500', 'HIGH SCHOOL': '$44,500', 'ASSOCIATE': '$44,500', 'BACHELOR': '$50,000', 'MASTER': '$53,500', 'DOCTORATE': '$60,000'}","245,969","1,725,547","['Financial Transactions', 'Financial Statements', 'Financial Analysis', 'Accounting Systems', 'Collections', 'Accounts Payable', 'Accounting', 'Accounts Receivable', 'Account Analysis', 'Accounting Codes', 'Accounting Policy', 'Accrual Accounting', 'Double Entry Accounting', 'Generally Accepted Accounting Principles', 'Maintain Fiscal Integrity', 'Quickbooks (Accounting Software)', 'Account Reconciliation', 'Trust Accounting System', 'Accounting Softwares', 'Bookkeeping', 'Bank Reconciliations', 'Fixed Asset', 'Peachtree (Accounting Software)', 'Ledgers (Accounting)', 'Record Payments', 'Accounts Reconciliation', 'Reconciling Transactions', 'Deposit Accounts']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Accounting Specialist,https://www.careerbuilder.com/jobs-accounting-specialist,$44795,https://www.careerbuilder.com/salary-accounting-specialist,"$64,000","{'VOCATIONAL': '$52,500', 'HIGH SCHOOL': '$52,500', 'ASSOCIATE': '$56,000', 'BACHELOR': '$68,000', 'MASTER': '$75,500', 'DOCTORATE': '$84,000'}","664,574","6,377,291",[]
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Accounting Technician,https://www.careerbuilder.com/jobs-accounting-technician,$47462,https://www.careerbuilder.com/salary-accounting-technician,"$63,500","{'VOCATIONAL': '$55,000', 'HIGH SCHOOL': '$53,500', 'ASSOCIATE': '$57,000', 'BACHELOR': '$65,500', 'MASTER': '$73,500', 'DOCTORATE': '$85,500'}","267,476","2,861,211","['General Ledger', 'Reconciliation', 'Accruals', 'Accounts Payable', 'Balance Sheet', 'Fixed Asset', 'Accounts Receivable', 'Tax Return', 'Accounting Systems', 'Financial Systems']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Analyst,https://www.careerbuilder.com/jobs-analyst,$76463,https://www.careerbuilder.com/salary-analyst,"$83,000","{'VOCATIONAL': '$68,500', 'HIGH SCHOOL': '$65,000', 'ASSOCIATE': '$68,500', 'BACHELOR': '$82,500', 'MASTER': '$93,500', 'DOCTORATE': '$99,000'}","957,935","10,459,222",[]
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Assessor,https://www.careerbuilder.com/jobs-assessor,$56080,https://www.careerbuilder.com/salary-assessor,"$91,500","{'VOCATIONAL': '$60,000', 'HIGH SCHOOL': '$65,000', 'ASSOCIATE': '$72,500', 'BACHELOR': '$78,500', 'MASTER': '$88,500', 'DOCTORATE': '$89,000'}","16,591","129,318","['Health Reimbursement Arrangement', 'Medicare Part D', 'Medicaid Managed Care', 'Supplementary Security Income (Ssi)', 'Vicarious Liability', 'Medicare Advantage', 'Human Machine Interfaces', 'Insurance Policies', 'Authorization (Medical)', 'Billing Systems']"
Accounting and Financial Jobs,Accounting and Auditing,https://www.careerbuilder.com/browse/category/accounting-and-auditing,Auditing,https://www.careerbuilder.com/jobs-auditing,$75513,https://www.careerbuilder.com/salary-auditing,"$75,000","{'VOCATIONAL': '$57,000', 'HIGH SCHOOL': '$56,000', 'ASSOCIATE': '$60,500', 'BACHELOR': '$73,500', 'MASTER': '$83,500', 'DOCTORATE': '$93,000'}","1,237,495","10,331,095",[]
